,index,username,score,category
479,37649,SheWasSoLovely,0.00355528,r
480,39969,MVP_SPORTS_LA,0.00355783,r
481,132320,EverydayFFB,0.00356304,o
482,110448,emahlee_97,0.00356543,r
483,90704,GodIsAWoomba,0.00356707,r
484,42023,891ed,0.00357106,r
485,147155,BennyMack13,0.00357356,o
486,36886,tryanerror,0.003574,o
487,52768,agustsjeon,0.00357504,r
488,130525,CAMills15,0.00357537,o
489,503,BizEdMag,0.00357932,o
490,133040,cbferry1860,0.003586,r
491,48668,ride_a_tb,0.00359856,o
492,107505,DMGirl31,0.00359946,o
493,107555,farahstiniyah,0.00360827,o
494,143815,fe_TISH9,0.00361109,o
495,142347,ThatGirlMaryyyy,0.00361144,o
496,73589,Railer_15,0.00361373,r
497,85911,WOfurtherAdu,0.00361396,o
498,21040,fallarohmah,0.00361953,o
499,45040,ivyanthony95,0.00362619,r
500,24067,pawlerslai,0.00362731,o
501,57855,WycocoR,0.00362898,r
502,28576,yerduaaaaaa,0.00363889,r
503,82895,KateBegins2Rock,0.00363911,o
504,47588,_Stay__gold_,0.00364602,r
505,31711,Hurricane_92,0.00364794,r
506,142714,Signore_XV,0.00365042,o
507,88672,Ahura3,0.00368234,o
508,147606,DarbysDose,0.0036826,o
509,42276,bagonzales_24,0.00369423,o
510,131231,imkhanfused,0.00369434,o
511,101289,btsexplicits,0.00369616,o
512,21277,Welles_7,0.0036976,o
513,21593,aicelpaula,0.0036994,o
514,122927,__Wordisbond,0.00371537,o
515,42780,msruff24,0.00373245,r
516,23447,jalissa_renee,0.00373612,r
517,130869,EhabStan,0.00375163,o
518,4947,SailorBubaloo,0.00377206,o
519,1768,LeooCabrew,0.00377426,r
520,60097,aggieamy2006,0.00377507,r
521,105328,ChidyXStales,0.00380064,o
522,69064,bargainac,0.00381583,o
523,44588,Dasiaalashay,0.00382269,r
524,92687,goldencen,0.0038358,r
525,61866,kookbff,0.00384652,r
526,96762,Jukadoshi,0.00386764,o
527,96394,metathor,0.00388519,r
528,26339,Becca_Lee_R,0.00388618,o
529,65478,NT_Agent__0,0.00389376,o
530,124116,jim_schovanec,0.00390051,r
531,143754,being_ulti,0.00390153,r
532,135004,3pic_Ott3r,0.0039141,o
533,48905,Ttwilly,0.00392274,o
534,59477,kaydee_tweets,0.00392597,r
535,144030,Sarah12930,0.00392681,r
536,11577,Jonowono7,0.00392968,r
537,93222,crimtalksbooks,0.00393253,o
538,148992,capeislsweather,0.00394143,o
539,115831,ant_theOreo,0.00395077,o
540,106097,Springbl0ss0ms,0.00395597,o
541,37615,_whitejoe_,0.0039579,r
542,125928,TheRealA1Mikez,0.00396774,r
543,27312,AllThatIsFowler,0.00396854,r
544,3106,SHAMEGAWD,0.0039748,r
545,33446,madeleinedejohn,0.0039778,r
546,33087,The_Pit_Barrel,0.00398671,o
547,19954,VMambuca,0.00399319,r
548,19832,2B7C89526,0.00400616,o
549,131247,OhhhLeirene_,0.00402573,o
550,125983,v0ca1oid_bot,0.0040262,o
551,27907,nrzfr,0.00402967,o
552,72339,Oh_Kitaaaa,0.00403214,o
553,97821,WIcarolinagirl,0.00403282,o
554,126055,chrispklimek,0.00404289,o
555,110472,santanaz_xo,0.00404443,o
556,46232,realTheePaint,0.00404736,r
557,84697,Suzanne_8_1_2,0.00404817,o
558,24552,nessaxmereno,0.00405349,o
559,98435,EunbaeC,0.00405913,r
560,113093,mykectown,0.00406234,o
561,133517,liquid8d,0.00407053,o
562,114138,KevBeirne,0.0040756,r
563,70609,noirtuan,0.00407897,r
564,52233,darlingdisastro,0.00408256,r
565,87539,VelezinEnglish,0.00408618,r
566,25500,STRICTLYARREAGA,0.00410016,o
567,145418,TallManShort,0.00410862,o
568,85595,andymergendahl,0.00410875,o
569,59690,bootcia,0.00411546,r
570,122092,leighseokjin,0.00415054,o
571,5808,panpancookies,0.00415651,r
572,29383,abraham_tactay,0.00416185,o
573,85077,miss_print,0.00417582,r
574,95060,a_hoyhoy,0.00418134,r
575,76887,radoxspotify,0.00418511,o
576,41319,evelynn_jones,0.00420802,r
577,23220,susanlyonspi,0.00421625,o
578,1066,kristal__autumn,0.00422897,o
579,36182,IzzatRfan,0.00423506,r
580,15168,breezzysimmons,0.00423893,r
581,90317,CChereseu,0.00424446,r
582,102514,NicoleVedEnvy,0.00424681,o
583,14751,JetGrindFuture,0.00424887,r
584,41720,HaileyTosato,0.00426604,o
585,89908,Nuezism,0.00427861,o
586,68169,Pastor_Purvis,0.00428023,o
587,135167,LeighaStudd,0.00428938,r
588,102164,zerah,0.00429296,r
589,118040,q_simmons1,0.00429538,o
590,27514,kozmit,0.00430003,r
591,148880,SheepeyDarkness,0.00431655,o
592,76436,thatsuguy,0.00431997,o
593,35294,RepQnzzz,0.00432519,o
594,109727,__ThatGirlLEXI,0.00433362,o
595,74794,curlyhairbeast_,0.00435071,o
596,3496,recck,0.00436238,o
597,84359,RLTerry1,0.00437189,o
598,104141,Nekrotikk,0.00437662,r
599,130766,deacon05oc,0.00438586,o
